Card,ID,Display Name,Plot ID,Zone,Easting,Northing,Accuracy (m),Elevation (m),Crew leader name,Date ,Slope,Aspect,Photo?,Notes
814,634465262604,Site,814,10,1193434,771538,0.2,820,Dan Marcotte,"Sep 6, 2023",7,SE,Yes,Minimal corrections during field check 20/09/2023 (SS).
1209,545752199180,Site,1209,10,463898,5764232,0.2,1040,Dan Marcotte,"Oct 12, 2023",1,NW,Yes,Plot landed in an old Pli plantation that appears unburned but free of obligation.
1139,258126471540,Site,1139,10,476822,5761694,0.2,1052,Dan Marcotte,"Nov 8, 2023",4,NE,Yes,Plot is surrounded by patchy multi-layer Fdi
974,336977281292,Site,974,10,455597,5757592,0.1,1076,Dan Marcotte,"Oct 18, 2023",5,S,Yes,No overstorey. Some scattered poor quality Pli near plot
659,903885274613,Site,659,10,482316,5749477,0.2,1140,Dan Marcotte,"Sep 18, 2023",5,E,Yes,
657,953408185328,Site,657,10,480319,5749571,0.5,1135,Sonya Lulua,"Oct 4, 2023",4,N,Yes,
812,682482360586,Site,812,10,485446,5752347,0.3,1000,Dan Marcotte,"Sep 6, 2023",16,S,Yes,Grassland adjacent. Live mature Fdi and Sx near plot. Aspen patch adjacent. High grass cover
1012,991977214660,Site,1012,10,454638,5758632,0.2,1073,Dan Marcotte,"Oct 18, 2023",9,SW,Yes,Plot landed in a clearing surrounded by a Pli plantation with dead mature Fdi overstorey. Only one tree in plot.
857,339657443045,Site,857,10,475478,5753759,0.3,1073,Dan Marcotte,"Oct 11, 2023",5,N,Yes,Mature Fdi seed source <100m from plot centre
1142,255023597994,Site,1142,10,485823,5761308,0.4,788,Dan Marcotte,"Nov 9, 2023",11,NE,Yes,
810,817909596184,Site,810,10,483441,5752427,0.3,1090,,"Sep 8, 2023",5,NE,Yes,
808,641007089179,Site,808,10,478441,5752637,0.1,1090,Dan Marcotte,"Sep 20, 2023",10,SW,Yes,Large Fdi vets around plot for seed source. One vet was the sample tree
1253,508086023222,Site,1253,10,479951,5764554,0.3,998,Dan Marcotte,"Nov 8, 2023",3,NW,Yes,Plot landed in area with multi layered Fdi. High regen in exposed soil.
806,894306787768,Site,806,10,474442,5752807,0.3,1096,Dan Marcotte,"Oct 11, 2023",1,E,Yes,Plot is surrounded by multi layered Fdi as a seed source. High germination from past two years
860,961106738968,Site,860,10,478481,5753632,0.3,1050,Dan Marcotte,"Sep 20, 2023",15,NW,Yes,
1247,374684805951,Site,1247,10,465936,5765152,0.5,,Bruce Johnson,"Sep 25, 2023",0,,Yes,
847,807014651699,Site,847,10,452470,5754730,3.0,1114,Anya,"Sep 27, 2023",0,,Yes,Live FDI ~10 m off plot. Quite a big of slash. Relatively unburnt or low severity burn area.
1276,622656221559,Site,1276,10,449977,5766820,4.0,1069,Anya,"Sep 26, 2023",0,,Yes,Live pine over story . Low severity burn. Lots of blow down.
846,643576572604,Site,846,10,451469,5754762,0.0,1120,Anya,"Sep 27, 2023",0,,Yes,Poor growing pine in open flat area. No live overstory for a long distance. Only counted regen in NE quadrant because of time restrictions. All quadrants had very high density of poor growing pine.
1356,131832387330,Site,1356,10,451071,5768783,1.0,1069,Anya,"Sep 26, 2023",0,,Yes,Standing burnt snags near by. None in plot. Average age approx.
407,351198005530,Site,407,10,457057,5744547,2.0,1158,Axelson,"Sep 28, 2023",2,NW,Yes,"Gravel depression, surrounded area dominated by class 3 pli and larger."
844,362115396677,Site,844,10,449472,5754854,4.0,1114,Axelson,"Sep 27, 2023",4,E,Yes,Evidence of Zellaria needle sheath miner. Some trees have distinct growth pattern of alternating low to normal /high height growth for 4-5 yrs.
1200,376946125435,Site,1200,10,444882,5765033,2.0,1079,Axelson,"Sep 25, 2023",5,N,Yes,Clumpy distribution of mainly class 1 and 2. No overstory. No sample tree.
1273,352723948417,Site,1273,10,445971,5766989,1.0,1072,Anya,"Sep 25, 2023",0,,Yes,Slight depression. Trees poorer vigour than surrounding areas. Possibly frost. Zone 11.
845,956972587778,Site,845,10,450467,5754804,2.0,1122,Axelson,"Sep 27, 2023",4,NE,Yes,"Zellaria, small class 2s stunted"
1272,154577673707,Site,1272,10,444966,5767025,2.0,1072,Anya,"Sep 25, 2023",0,,Yes,
894,946012255520,Site,894,10,451512,5755766,1.0,1102,Anya,"Sep 27, 2023",15,N,No,Douglas-fir seed source 200m. Pine are doing quite well here. Seems like the N aspect has increase moisture.
1160,648650674827,Site,1160,10,444849,5764035,3.0,1093,Axelson,"Sep 25, 2023",0,,Yes,"Very rocky, sandy soils."
895,650398519817,Site,895,10,452510,5755723,1.0,1073,Anya,"Sep 27, 2023",20,E,Yes,On the E facing slope of a small drainage. Live FDI close to plot. Lots of slash. FDI seedlings under slash and under Soopolallie.
454,696501496030,Site,454,10,456090,5745588,4.0,1163,Axelson,"Sep 28, 2023",2,NW,No,Zellaria evidence throughout quads.
892,695323194390,Site,892,10,449514,5755843,3.0,1119,Axelson,"Sep 27, 2023",0,,Yes,"Low density, trees healthier, more foliage, dead burnt fdi vet just outside plot, 10m, no fir in area. Some fdi cones (not burnt) seen on ground."
408,100577285561,Site,408,10,458052,5744506,2.0,1175,Anya,"Sep 28, 2023",0,,No,Mature over story. Old surface fire in plot possibly 80 years ago.
1319,937066994346,Site,1319,10,448013,5767892,5.0,1060,Axelson,"Sep 26, 2023",0,,Yes,"Uneven aged canopy pli forest, very little regen, downed old MPB, typical chilcoltin stand of this type, no Fdi vets seen. Potentially not burned site, cwd on ground doesn’t appear burnt."
1322,746221918112,Site,1322,10,451016,5767761,1.0,,Anya,"Sep 26, 2023",0,,Yes,Live fir overstory. Big patch of low severity fire here. Bigger fir survived fire. Soopolallie is sheltering fir seedlings.
1321,194411838484,Site,1321,10,450017,5767814,3.0,1066,Axelson,"Sep 26, 2023",10,SW,Yes,
358,620414170094,Site,358,10,,,,,,,,,No,Site prep and Planted.
893,730830934409,Site,893,10,450518,5755804,2.0,1121,Axelson,"Sep 27, 2023",1,SE,Yes,No overstory. Pine regen looks ok. Zellaria defoliation present in area.not straight stem form - snow/wind?
1235,124275975947,Site,1235,10,444935,5766031,2.0,1068,Anya,"Sep 25, 2023",2,N,Yes,Soopolallie 0.5m average height
456,235597689549,Site,456,10,459084,5745507,1.0,1143,Anya,"Sep 28, 2023",0,,No,No good sample tree. Photo on AR phone.
469,744144596348,Site,469,10,458139,5746500,1.0,1148,Anya,"Sep 28, 2023",0,,No,Photo on AR phone
1320,876899319668,Site,1320,10,449015,5767852,3.0,1057,Axelson,"Sep 26, 2023",3,NW,Yes,"Regeneration- Chlorotic; needless maybe elytroderma?, poor form vigour overall. Overstory - none"
163,8.91161E+11,Site,163,10,486812,5737301,1.3,1146,Darren Wayling,08-Aug-23,15,S,Yes,
1794,7.76303E+11,Site,1794,10,487564,5802176,3.8,1273,Cody Holtom,12-Oct-23,8,SE,Yes,
324,5.82701E+11,Site,324,10,487981,5741247,1.3,1101,darren,16-Aug-23,-15,North east,Yes,
1460,4.24207E+11,Site,1460,10,468557,5778977,3.5,1025,darren,05-Oct-23,-9,S,Yes,
1798,2.47919E+11,Site,1798,10,491563,5802013,1.2,1217,Philip Hartmann,19-Oct-23,-2,NW,Yes,no sample tree
331,8.84744E+11,Site,331,10,499998,5740737,0.3,1160,Cody Holtom,26-Jul-23,-7,N,Yes,
235,8.40557E+11,Site,235,10,494904,5738948,3.7,1185,cody,25-Jul-23,-4,N,Yes,
193,2.06527E+11,Site,193,10,471846,5738929,1.3,1184,cody,25-Aug-23,2,north,Yes,
2380,4.64556E+11,Site,2380,10,487025,5813179,2.5,1168,darren,11-Oct-23,-1,N,Yes,
1335,4.57593E+11,Site,1335,10,493042,5765997,3.8,1166,Cody Holtom,24-Aug-23,-10,NE,Yes,
375,3.86769E+11,Site,375,10,497027,5741869,3.5,1310,Cody Holtom,31-Jul-23,-13,E,Yes,
1795,3.47395E+11,Site,1795,10,488566,5802130,3.8,1257,Cody Holtom,12-Oct-23,-3,N,Yes,
1760,9.32864E+11,Site,1760,10,485516,5801258,2,1168,darren,12-Oct-23,4,N,Yes,
2379,2.57772E+11,Site,2379,10,486026,5813215,3.8,1164,Cody Holtom,11-Oct-23,3,S,Yes,
499,2.03348E+11,Site,499,10,474141,5745817,3.8,1152,Cody Holtom,21-Aug-23,-10,NW,Yes,No evidence of burn
460,6.74788E+11,Site,460,10,477099,5744709,3.5,1172,Philip Hartmann,15-Aug-23,16,NE,Yes,
662,5.6853E+11,Site,662,10,489321,5749178,2,1080,Cody Holtom,19-Jul-23,12,S,Yes,
420,1.36657E+11,Site,420,10,493063,5743027,0.2,1260,darren,09-Aug-23,2,North West,Yes,
502,7.43713E+11,Site,502,10,478144,5745650,1.5,1144,darren,14-Aug-23,6,North east,Yes,
466,5.94604E+11,Site,466,10,495110,5743939,1.4,1245,darren,31-Jul-23,-19,North,No,
369,1.57024E+11,Site,369,10,490027,5742157,1.4,1094,darren,11-Aug-23,45,west,Yes,
2460,9.93086E+11,Site,2460,10,493070,5813919,1.4,1207,Darren Wayling,06-Oct-23,3,S,No,
1294,1.15875E+11,Site,1294,10,491999,5765048,1.5,1196,darren,24-Aug-23,35,north,Yes,
1115,9.79152E+11,Site,1115,10,499790,5759721,1.3,1144,Philip Hartmann,17-Oct-23,7,W,Yes,no overstory or sample
1833,4.99318E+11,Site,1833,10,488607,5803120,2,1278,Darren,12-Oct-23,18,N,Yes,
1225,3.14943E+11,Site,1225,10,499922,5762710,3.8,1211,Cody Holtom,29-Aug-23,7,S,Yes,
1144,6.37552E+11,Site,1144,10,492855,5761016,3.8,1028,Cody Holtom,18-Oct-23,2,NW,Yes,
320,8.63949E+11,Site,320,10,481976,5741504,1.5,1208,darren,14-Aug-23,6,north,Yes,
2317,2.38925E+11,Site,2317,10,494991,5811844,2.5,1268,darren,10-Oct-23,2,N,Yes,
425,3.72923E+11,Site,425,10,500070,5742735,3.5,1030,Cody Holtom,03-Aug-23,-3,N,Yes,South quadrants are in rd pullout. half of north quadrants are burm of rd pullout
1220,9.55042E+11,Site,1220,10,492909,5763008,1.5,1156,darren,29-Aug-23,17,south,Yes,
1049,5.17546E+11,Site,1049,10,494703,5757939,3.8,1077,Cody Holtom,17-Oct-23,6,W,Yes,
327,7.99931E+11,Site,327,10,492984,5741041,1.5,1251,Darren,31-Jul-23,-20,South,No,
467,1.99065E+11,Site,467,10,496119,5743899,1.5,1137,dw,03-Aug-23,30,North east,Yes,
1052,2.28741E+11,Site,1052,10,498708,5757769,3.8,1113,Cody Holtom,17-Oct-23,1,SW,Yes,
276,5.16657E+11,Site,276,10,486940,5740286,1.3,1147,darren,16-Aug-23,5,north,Yes,
1836,6.74974E+11,Site,1836,10,493608,5802923,1.4,1232,Philip Hartmann,19-Oct-23,13,N,Yes,No evidence of burn
315,3.14683E+11,Site,315,10,467969,5742095,5.5,1190,cody,10-Aug-23,8,N,Yes,in salvage block
282,7.72842E+11,Site,282,10,495940,5739901,3,1187,Cody Holtom,31-Jul-23,10,S,Yes,
1708,3.46492E+11,Site,1708,10,489438,5799096,3,1263,Cody Holtom,23-Oct-23,7,NW,Yes,
1261,5.84353E+11,Site,1261,10,495958,5763876,3.8,1358,Cody Holtom,03-Oct-23,9,SE,Yes,
2318,5.94628E+11,Site,2318,10,495989,5811795,3.8,1246,Cody Holtom,10-Oct-23,-4,S,Yes,
717,1.34354E+11,Site,717,10,493365,5750006,1.6,818,darren,17-Aug-23,30,north,Yes,
1145,7.08371E+11,Site,1145,10,493826,5760968,1.3,1149,Philip Hartmann,18-Oct-23,3,NW,Yes,no sample
666,3.26293E+11,Site,666,10,493317,5749005,1.6,941,darren,17-Aug-23,50,south,Yes,
1706,9.03778E+11,Site,1706,10,487438,5799189,1.4,1287,Philip Hartmann,20-Oct-23,15,N,Yes,no overstory or sample
1180,9.53353E+11,Site,1180,10,492871,5762011,1.5,1048,darren,29-Aug-23,2,west,Yes,
329,7.87941E+11,Site,329,10,494981,5740948,1.4,1234,darren,31-Jul-23,14,East,Yes,protected by road
1185,6.27684E+11,Site,1185,10,498880,5761759,3.8,1148,Cody Holtom,29-Aug-23,2,S,Yes,
1430,9.22702E+11,Site,1430,10,473316,5773826,1.7,878,phil,04-Oct-23,-18,W,Yes,
1222,6.61812E+11,Site,1222,10,494914,5762922,1.7,1150,darren,29-Aug-23,10,south,Yes,
988,9.41866E+11,Site,988,10,495616,5755899,3.8,1053,Cody Holtom,17-Oct-23,2,SW,Yes,
366,4.54859E+11,Site,366,10,482023,5742502,2.5,1134,Philip Hartmann,14-Aug-23,-11,NE,Yes,
20,5.40368E+11,Site,20,10,486052,5719359,1.7,1469,Cody Holtom,24-Jul-23,15,NW,Yes,
361,1.05428E+11,Site,361,10,469023,5743039,4.5,1156,Cody Holtom,10-Aug-23,2,N,Yes,no evidence of burn
234,4.96897E+11,Site,234,10,488898,5739205,4,1117,Philip Hartmann,16-Aug-23,-6,E,Yes,
1705,8.51638E+11,Site,1705,10,486429,5799225,3,1256,Cody Holtom,20-Oct-23,3,N,Yes,
1398,2.04806E+11,Site,1398,10,495171,5768898,3.8,1229,Cody Holtom,19-Sep-23,-10,W,Yes,
1080,1.21587E+11,Site,1080,10,494747,5758936,1.3,1060,Philip Hartmann,17-Oct-23,5,NE,Yes,no sample
1221,1.40771E+11,Site,1221,10,493910,5762962,3.8,1120,Cody Holtom,24-Aug-23,4,SE,Yes,in draw
545,6.68269E+11,Site,545,10,495192,5745927,0.1,1021,darren,09-Aug-23,-5,north,Yes,area has been logged
423,4.6117E+11,Site,423,10,498070,5742814,2.5,1073,Cody Holtom,03-Aug-23,15,N,Yes,
1148,9.19177E+11,Site,1148,10,496850,5760848,1.4,1092,Philip Hartmann,17-Oct-23,11,NW,Yes,no overstory or sample
1422,2.20381E+11,Site,1422,10,483284,5772396,1.7,1011,phil,04-Oct-23,,,No,
1793,1.33076E+11,Site,1793,10,486559,5802216,3.8,1235,Cody Holtom,12-Oct-23,13,W,Yes,in draw
1340,9.07012E+11,Site,1340,10,499046,5765741,3,1232,Darren Wayling,22-Aug-23,1,NW,Yes,
1024,9.89627E+11,Site,1024,10,499668,5756731,3.8,1107,Cody Holtom,17-Oct-23,15,W,Yes,in draw
1264,9.936E+11,Site,1264,10,499969,5763708,2.5,1214,Darren Wayling,22-Aug-23,9,SE,Yes,
620,4.98992E+11,Site,620,10,490279,5748135,1.7,1105,darren,11-Aug-23,2,North,Yes,
1835,5.53325E+11,Site,1835,10,492612,5802957,1.4,1232,Philip Hartmann,12-Oct-23,7,NW,Yes,
535,1.27605E+11,Site,535,10,473179,5746860,3.8,1119,Cody Holtom,21-Aug-23,-4,S,Yes,
2253,3.91919E+11,Site,2253,10,492946,5810930,1.5,1255,Philip Hartmann,10-Oct-23,5,W,Yes,no overstory or sample tree.  barely any evidence of burn
1186,3.03175E+11,Site,1186,10,499876,5761710,3.8,1143,Cody Holtom,29-Aug-23,20,SE,Yes,
162,3.99437E+11,Site,162,10,481817,5737505,1.6,1199,Darren Wayling,08-Aug-23,10,S,Yes,Barely burnt. Aspen stand. Only evidence is charging on the base of some aspen
949,9.35492E+11,Site,949,10,498585,5754777,1.3,1085,Philip Hartmann,18-Oct-23,3,S,Yes,
1685,4.74151E+11,Site,1685,10,487391,5798188,1.2,1334,Philip Hartmann,20-Oct-23,6,W,Yes,only counted NE quadrant for regen
1113,9.94733E+11,Site,1113,10,495795,5759894,1.4,1070,Philip Hartmann,17-Oct-23,4,W,Yes,no overstory or sample
279,6.03285E+11,Site,279,10,489941,5740162,3,1068,Philip Hartmann,11-Aug-23,7,W,Yes,
2312,8.37817E+11,Site,2312,10,487983,5812139,1.3,1173,Philip Hartmann,11-Oct-23,2,S,No,
1401,6.46531E+11,Site,1401,10,499187,5768734,3.8,1288,Cody Holtom,20-Sep-23,15,SW,Yes,
1931,8.57102E+11,Site,1931,10,490693,5805036,3.5,1183,Cody Holtom,19-Oct-23,10,SW,Yes,
1022,3.30699E+11,Site,1022,10,494662,5756938,3.8,1062,Cody Holtom,17-Oct-23,2,SW,Yes,
2523,2.62258E+11,Site,2523,10,494117,5814875,1.3,1258,Darren Wayling,06-Oct-23,-30,S,Yes,Didn't have plot number on pdf map. Called it 2523
1461,6.83044E+11,Site,1461,10,472556,5778822,2.5,956,Darren,05-Oct-23,-1,NW,Yes,no overstory no sample
505,1.1733E+11,Site,505,10,484143,5745395,1.6,1083,darren,15-Aug-23,20,North east,Yes,
464,5.57761E+11,Site,464,10,485109,5744359,1.3,1090,darren,15-Aug-23,2,North west,Yes,
1298,8.17039E+11,Site,1298,10,496001,5764873,3.8,1341,Cody Holtom,03-Oct-23,60,NE,Yes,
370,5.26275E+11,Site,370,10,492043,5742089,2.5,1197,Cody Holtom,01-Aug-23,-7,SW,Yes,plot in post fire ibd sanitation area
1299,1.94862E+11,Site,1299,10,496989,5764837,4.8,1385,Cody Holtom,22-Sep-23,-39,S,Yes,
1761,2.97326E+11,Site,1761,10,489519,5801100,2,1265,darren,12-Oct-23,5,NE,Yes,
284,4.95818E+11,Site,284,10,499906,5739667,0.4,1267,Cody Holtom,26-Jul-23,-13,S,Yes,
161,2.97461E+11,Site,161,10,480804,5737551,3.5,1195,cody,08-Aug-23,6,NW,Yes,only evidence of burn is in 5.64
1258,4.87211E+11,Site,1258,10,492953,5764009,1.6,1306,darren,28-Aug-23,45,east,Yes,
1257,6.53742E+11,Site,1257,10,491954,5764043,1.6,1170,darren,24-Aug-23,30,South west,Yes,
1114,1.05669E+11,Site,1114,10,497790,5759808,1.6,1109,Philip Hartmann,17-Oct-23,9,N,No,average slope is 9. Slope down the gully is -33
1367,1.09148E+11,Site,1367,10,497089,5766822,3.8,1267,Cody Holtom,21-Sep-23,-14,SW,Yes,
907,8.95765E+11,Site,907,10,497534,5753821,3.8,912,Cody Holtom,18-Oct-23,-5,NE,Yes,in salvage block. trenched and planted. no natural regen
270,7.59153E+11,Site,270,10,469929,5741010,1.9,1176,darren,10-Aug-23,-6,North east,Yes,
574,1.64029E+11,Site,574,10,476224,5747743,4,1080,Philip Hartmann,14-Aug-23,-7,W,Yes,
13,1.33782E+11,Site,13,10,485004,5718397,1.5,1460,Cody Holtom,24-Jul-23,4,N,Yes,
2251,3.3572E+11,Site,2251,10,488941,5811098,3.8,1168,Cody Holtom,11-Oct-23,1,SW,Yes,
360,5.95617E+11,Site,360,10,468009,5743090,1.6,1165,darren,10-Aug-23,15,South east,No,
417,7.69386E+11,Site,417,10,483063,5743453,1.5,109,darren,15-Aug-23,9,South west,Yes,
1686,4.46532E+11,Site,1686,10,488403,5798143,1.4,1331,Philip Hartmann,23-Oct-23,5,S,Yes,Site isn't representative of area. Most of the area has 2 or 3x the amount of regen
1050,9.08644E+11,Site,1050,10,496703,5757855,3.8,1090,Cody Holtom,17-Oct-23,2,SW,Yes,
371,1.07206E+11,Site,371,10,493026,5742020,3.5,1277,Cody Holtom,01-Aug-23,-16,N,Yes,
661,3.81274E+11,Site,661,10,488325,5749225,1.6,1055,cody,19-Jul-23,6,NE,Yes,
1111,5.50608E+11,Site,1111,10,491788,5760060,3,999,Darren,18-Oct-23,1,W,Yes,
1425,1.97281E+11,Site,1425,10,496300,5771847,1.5,1234,darren,28-Aug-23,20,north,Yes,
197,7.2554E+11,Site,197,10,499859,5737747,1.5,1158,Darren,26-Jul-23,2,southern,No,
2195,4.17905E+11,Site,2195,10,493898,5809896,1.5,1315,Philip Hartmann,10-Oct-23,6,S,Yes,
541,8.16087E+11,Site,541,10,484182,5746398,4,1029,Cody Holtom,11-Aug-23,-17,N,Yes,
540,8.00755E+11,Site,540,10,480187,5746573,5,1097,Philip Hartmann,15-Aug-23,-3,NE,Yes,
419,7.9809E+11,Site,419,10,491066,5743112,1.4,1175,dw,02-Aug-23,8,west,Yes,
281,6.11982E+11,Site,281,10,494939,5739956,1.3,1192,darren,31-Jul-23,6,South,Yes,
1467,1.48445E+11,Site,1467,10,469597,5779935,2.5,978,darren,05-Oct-23,-3,S,No,no evidence of burn
618,2.75754E+11,Site,618,10,486282,5748289,2,1058,Cody Holtom,20-Jul-23,-9,NW,Yes,
232,1.23852E+11,Site,232,10,485891,5739332,1.4,1152,darren,21-Aug-23,7,south,Yes,
165,5.43283E+11,Site,165,10,499810,5736745,3.7,1156,Cody holtom,25-Jul-23,4,N,Yes,
503,6.05559E+11,Site,503,10,479142,5745608,1.5,1118,darren,14-Aug-23,10,west,Yes,
718,3.30931E+11,Site,718,10,494372,5749963,1.6,774,darren,09-Aug-23,20,north,Yes,
421,7.68731E+11,Site,421,10,496067,5742903,4,1273,Cody Holtom,31-Jul-23,18,N,Yes,
1182,7.69332E+11,Site,1182,10,494880,5761926,3.8,1069,Cody Holtom,28-Aug-23,4,W,Yes,
1053,7.62533E+11,Site,1053,10,499706,5757731,3.8,1129,Cody Holtom,17-Oct-23,3,SW,Yes,
1259,2.79572E+11,Site,1259,10,493954,5763964,3.8,1157,Cody Holtom,24-Aug-23,6,N,Yes,
1400,5.47758E+11,Site,1400,10,498166,5768773,3.8,1271,Cody Holtom,20-Sep-23,4,SW,Yes,
367,6.75493E+11,Site,367,10,488027,5742250,1.3,1069,darren,16-Aug-23,40,South west,Yes,
815,4.72431E+11,Site,815,10,492447,5752042,1.7,803,darren,17-Aug-23,-10,North east,Yes,
1707,7.86151E+11,Site,1707,10,488436,5799141,1.2,1287,Philip Hartmann,23-Oct-23,4,W,Yes,no overstory or sample
1341,9.01254E+11,Site,1341,10,500050,5765697,3,1236,Darren Wayling,22-Aug-23,1025555,E,Yes,
766,9.23412E+11,Site,766,10,492406,5751053,3.8,836,Cody Holtom,17-Aug-23,51,N,Yes,in draw
711,8.5868E+11,Site,711,10,486361,5750273,2,857,Cody Holtom,20-Jul-23,7,W,Yes,
1297,9.38495E+11,Site,1297,10,495005,5764916,3.8,1359,Cody Holtom,25-Sep-23,68,NE,No,unsafe plot. steep rock outcrop windy day. Quick occular survey. no regen. 40% rock 40% moss 20% grass. 2 overstory 22.3 DBH 27.4 DBH. No sample tree.
577,2.50542E+11,Site,577,10,484230,5747389,3,1055,Cody Holtom,11-Aug-23,-16,NE,Yes,
536,1.72971E+11,Site,536,10,475179,5746774,3.8,1146,cody holtom,21-Aug-23,-8,W,Yes,
2378,6.49473E+11,Site,2378,10,485026,5813256,1.1,1155,Philip Hartmann,11-Oct-23,-2,SW,Yes,"no sample, no overstory"
669,8.72284E+11,Site,669,10,496322,5748876,3.8,850,Cody Holtom,17-Aug-23,-6,N,Yes,
1423,9.94153E+11,Site,1423,10,494297,5771933,3.8,1223,Cody Holtom,28-Aug-23,-4,N,Yes,no evidence of burn. half of plot on road/fireguard
1831,8.9685E+11,Site,1831,10,486600,5803212,2.5,1209,darren,12-Oct-23,2,NE,Yes,no evidence of burn
3,8.46905E+11,Site,3,,497255,5870542,0.5,,,15-Jun-23,,,No,
231,5.30978E+11,Site,231,10,484902,5739375,1.5,1139,darren,21-Aug-23,20,west,Yes,
1413,6.1434E+11,Site,1413,10,494256,5770943,3.8,1211,Cody Holtom,28-Aug-23,3,SW,Yes,Northern half very little evidence of burn.
585,5.89591E+11,Site,585,10,494239,5746972,1.7,1007,darren,09-Aug-23,1,east,Yes,area has been logged
1651,6.26625E+11,Site,1651,10,487310,5796192,2.5,1287,Cody Holtom,20-Oct-23,43,W,Yes,
1876,6.19493E+11,Site,1876,10,491646,5803994,1.4,1148,Philip Hartmann,12-Oct-23,4,NW,Yes,
538,5.39811E+11,Site,538,10,477189,5746708,3.5,1094,Philip Hartmann,15-Aug-23,-8,N,Yes,
1792,4.66182E+11,Site,1792,10,485559,5802261,3.8,1186,Cody Holtom,12-Oct-23,17,NW,Yes,
581,2.10448E+11,Site,581,10,489241,5747184,1.7,1114,darren,11-Aug-23,2,north,Yes,
194,2.52892E+11,Site,194,10,481851,5738507,3.8,1131,Cody Holtom,25-Aug-23,-10,S,Yes,
1796,5.14918E+11,Site,1796,10,489564,5802088,2.5,1242,Darren,12-Oct-23,3,S,Yes,no evidence of burn
1421,7.3042E+11,Site,1421,10,482292,5772446,1.7,1005,phil,04-Oct-23,5,W,Yes,
719,1.45541E+11,Site,719,10,498368,5749790,3.8,755,Cody Holtom,17-Aug-23,5,NW,Yes,
506,6.41119E+11,Site,506,10,494153,5744969,1.3,1176,dw,02-Aug-23,15,North east,Yes,
141,7.18364E+11,Site,141,10,499771,5735835,1.6,1181,Darren,25-Jul-23,2,east,Yes,
2311,2.99579E+11,Site,2311,10,486977,5812171,3.8,1138,Cody Holtom,11-Oct-23,9,W,Yes,
1295,1.12994E+11,Site,1295,10,492990,5765004,1,1267,darren,24-Aug-23,25,North east,Yes,
424,3.29512E+11,Site,424,10,499073,5742771,3,1047,Cody Holtom,03-Aug-23,3,N,Yes,
330,9.59714E+11,Site,330,10,498989,5740783,1.3,1265,darren,26-Jul-23,-9,NE,Yes,
